Index,Class
258,False
259,False
260,True
261,False
262,True
263,False
264,True
265,False
266,True
267,True
268,False
269,True
270,False
271,True
272,False
273,True
274,False
275,False
276,False
277,False
278,False
279,True
280,False
281,True
282,True
283,True
284,False
285,True
286,True
287,False
288,False
289,False
290,True
291,True
292,False
293,True
294,True
295,False
296,True
297,True
298,True
299,False
300,False
301,True
302,False
303,True
304,True
305,True
306,False
307,True
308,True
309,True
310,True
311,True
312,False
313,False
314,False
315,False
316,False
317,False
318,False
319,False
320,True
321,False
322,True
323,True
324,True
325,True
326,True
327,True
328,False
329,True
330,False
331,False
332,True
333,False
334,True
335,True
336,False
337,False
338,False
339,True
340,True
341,True
342,False
343,True
344,False
345,False
346,False
347,False
348,False
349,False
350,True
351,False
352,False
353,True
354,False
355,True
356,True
357,True
358,False
359,False
360,True
361,False
362,True
363,True
364,False
365,False
366,True
367,False
368,True
369,True
370,False
371,True
372,False
373,True
374,False
375,False
376,False
377,False
378,True
379,True
380,False
381,False
382,False
383,False
384,True
385,False
386,False
387,False
388,True
389,False
390,False
391,True
392,False
393,False
394,True
395,True
396,False
397,False
398,True
399,True
400,False
401,False
402,False
403,False
404,True
405,True
406,False
407,True
408,True
409,False
410,False
411,True
412,False
413,True
414,False
415,False
416,True
417,False
418,False
419,True
420,False
421,False
422,True
423,False
424,True
425,True
426,True
427,True
428,False
429,False
430,False
431,True
432,True
433,True
434,False
435,False
436,False
437,True
438,False
439,True
440,True
441,False
442,True
443,False
444,False
445,False
446,False
447,True
448,True
449,False
450,True
451,False
452,True
453,False
454,True
455,True
456,False
457,False
458,False
459,True
460,True
461,True
462,True
463,False
464,False
465,True
466,False
467,False
468,False
469,False
470,True
471,True
472,True
473,True
474,False
475,False
476,False
477,True
478,False
479,False
480,False
481,False
482,True
483,False
484,False
485,False
486,False
487,False
488,False
489,False
490,False
491,True
492,True
493,False
494,False
495,False
496,True
497,True
498,False
499,False
500,True
501,False
502,True
503,True
504,False
505,False
506,False
507,False
508,True
509,False
510,True
511,True
512,False
513,True
514,True
515,True
516,False
517,False
518,True
519,False
520,False
521,True
522,False
523,True
524,False
525,False
526,False
527,False
528,False
529,False
530,False
531,False
532,False
533,False
534,True
535,False
536,True
537,False
538,False
539,False
540,False
541,True
542,False
543,True
544,True
545,True
546,True
547,False
548,True
549,False
550,True
551,False
552,False
553,True
554,False
555,False
556,True
557,False
558,True
559,False
560,False
561,True
562,True
563,True
564,False
565,False
566,True
567,True
568,True
569,False
570,True
571,True
572,False
573,True
574,False
575,False
576,True
577,True
578,True
579,True
580,False
581,True
582,False
583,False
584,True
585,True
586,True
587,False
588,True
589,False
590,True
591,False
592,True
593,False
594,True
595,False
596,True
597,True
598,False
599,True
600,False
601,False
602,True
603,True
604,False
605,True
606,False
607,True
608,True
609,True
610,False
611,False
612,False
613,True
614,False
615,True
616,True
617,False
618,True
619,False
620,True
621,True
622,True
623,True
624,True
625,True
626,True
627,True
628,False
629,True
630,True
631,False
632,True
633,False
634,True
635,False
636,False
637,True
638,True
639,True
640,False
641,True
642,True
643,True
644,False
645,True
646,True
647,False
648,True
649,True
650,False
651,True
652,False
653,True
654,True
655,True
656,False
657,True
658,False
659,False
660,True
661,False
662,False
663,False
664,True
665,False
666,True
667,False
668,True
669,True
670,False
671,False
672,True
673,False
674,True
675,True
676,True
677,True
678,False
679,False
680,True
681,True
682,False
683,True
684,False
685,False
686,True
687,True
688,True
689,True
690,True
691,False
692,False
693,True
694,False
695,True
696,False
697,True
698,True
699,True
700,True
701,False
702,True
703,False
704,True
705,False
706,True
707,True
708,False
709,False
710,False
711,True
712,False
713,False
714,True
715,True
716,True
717,False
718,True
719,True
720,True
721,True
722,True
723,True
724,True
725,True
726,True
727,False
728,True
729,False
730,True
731,True
732,False
733,False
734,False
735,False
736,True
737,False
738,True
739,True
740,True
741,True
742,True
743,True
744,True
745,True
746,False
747,True
748,True
749,True
750,True
751,True
752,True
753,True
754,True
755,False
756,True
757,True
758,True
759,True
760,False
761,False
762,True
763,True
764,False
765,True
766,True
767,False
768,False
769,False
770,True
771,True
772,True
773,True
774,True
775,True
776,True
777,True
778,True
779,True
780,True
781,True
782,True
783,True
784,True
785,False
786,False
787,False
788,True
789,False
790,False
791,False
792,False
793,True
794,True
795,True
796,False
797,False
798,False
799,True
800,True
801,False
802,True
803,True
804,False
805,True
806,False
807,False
808,False
809,True
810,False
811,False
812,True
813,True
814,True
815,False
816,True
817,False
818,True
819,False
820,False
821,False
822,False
823,False
824,True
825,True
826,False
827,True
828,False
829,True
830,False
831,True
832,False
833,True
834,False
835,False
836,False
837,False
838,True
839,True
840,False
841,False
842,False
843,False
844,False
845,False
846,True
847,True
848,False
849,False
850,False
851,True
852,True
853,True
854,False
855,False
856,False
857,True
858,False
859,False
860,True
861,True
862,False
863,True
864,False
865,True
866,True
867,False
868,True
869,False
870,True
871,False
872,True
873,False
874,False
875,False
876,True
877,False
878,True
879,False
880,False
881,False
882,False
883,True
884,False
885,True
886,False
887,True
888,False
889,True
890,True
891,True
892,False
893,True
894,False
895,True
896,False
897,False
898,True
899,True
900,True
901,False
902,False
903,False
904,True
905,True
906,True
907,True
908,False
909,True
910,False
911,False
912,True
913,True
914,True
915,False
916,True
917,False
918,False
919,False
920,True
921,True
922,True
923,True
924,False
925,True
926,False
927,False
928,True
929,False
930,True
931,False
932,False
933,False
934,False
935,True
936,True
937,False
938,False
939,False
940,True
941,True
942,True
943,True
944,False
945,True
946,True
947,True
948,False
949,True
950,False
951,False
952,True
953,True
954,False
955,False
956,True
957,True
958,False
959,False
960,False
961,True
962,False
963,False
964,False
965,False
966,True
967,False
968,True
969,False
970,False
971,True
972,False
973,False
974,True
975,True
976,False
977,False
978,True
979,True
980,True
981,True
982,False
983,False
984,True
985,False
986,True
987,False
988,True
989,False
990,False
991,True
992,False
993,True
994,False
995,True
996,True
997,False
998,True
999,True
